x,y,
48.575756,51.939392,
50.000000,71.000000,
83.000000,84.000000,
87.000000,45.000000,
57.000000,87.000000,
82.000000,59.000000,
84.000000,63.000000,
67.000000,59.000000,
58.000000,69.000000,
62.000000,84.000000,
71.000000,61.000000,
54.000000,70.000000,
54.000000,77.000000,
77.000000,54.000000,
83.000000,67.000000,
86.000000,69.000000,
87.000000,89.000000,
73.000000,74.000000,
66.000000,52.000000,
21.000000,39.000000,
27.000000,34.000000,
29.000000,37.000000,
25.000000,37.000000,
39.000000,36.000000,
